0.0001
Training starts..
/home/menglei/anaconda3/lib/python3.6/site-packages/torch/nn/functional.py:1890: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
Train Epoch: 1 [21600/68175 (32%)] | Loss: 4.317272 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5 | Time:7.0113 | Total_Time:3723.097
Train Epoch: 1 [21760/68175 (32%)] | Loss: 3.939931 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.75 | Time:6.9165 | Total_Time:3758.7069
Train Epoch: 1 [21920/68175 (32%)] | Loss: 4.059506 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.5625 | Time:6.8646 | Total_Time:3795.4752
Train Epoch: 1 [22080/68175 (32%)] | Loss: 3.688437 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:6.9047 | Total_Time:3826.0618
Train Epoch: 1 [22240/68175 (33%)] | Loss: 3.684070 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.8125 | Time:6.8204 | Total_Time:3856.3459
Train Epoch: 1 [22400/68175 (33%)] | Loss: 3.410427 | Top1_Accuracy_V:0.625 | Top5_Accuracy_V:0.8125 | Time:6.9335 | Total_Time:3890.8451
Train Epoch: 1 [22560/68175 (33%)] | Loss: 4.296830 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5625 | Time:6.9945 | Total_Time:3925.2871
Train Epoch: 1 [22720/68175 (33%)] | Loss: 3.482529 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.8125 | Time:7.0142 | Total_Time:3959.3578
Train Epoch: 1 [22880/68175 (34%)] | Loss: 4.131972 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:6.9638 | Total_Time:3995.2063
Train Epoch: 1 [23040/68175 (34%)] | Loss: 3.336421 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.75 | Time:6.9211 | Total_Time:4031.3083
Train Epoch: 1 [23200/68175 (34%)] | Loss: 2.885489 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.8125 | Time:6.9325 | Total_Time:4067.0562
Train Epoch: 1 [23360/68175 (34%)] | Loss: 3.243312 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.8125 | Time:6.7929 | Total_Time:4103.0902
Train Epoch: 1 [23520/68175 (34%)] | Loss: 3.994844 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.75 | Time:6.8521 | Total_Time:4138.4941
